Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000qtJgyAAE,0062e000002HGFNAA4,0052e000000VJE9AAO,29/04/2020 23:48,StageName,Identifying,Closed Lost
0172e00000qtR4nAAE,0062e000002P21JAAS,0052e000000VJDvAAO,30/04/2020 0:05,StageName,Developing,Proposing
0172e00000qtRyOAAU,0062e000002IkahAAC,0052e000000VJE9AAO,30/04/2020 0:08,StageName,Proposing,Closed Lost
0172e00000qugrIAAQ,0062e000002RRrfAAG,0052e000000VJBXAA4,30/04/2020 2:21,StageName,Proposing,Closed Won
0172e00000quI7UAAU,0062e000002HGeTAAW,0052e000000VJDEAA4,30/04/2020 1:50,StageName,Proposing,Awaiting Results
0172e00000qupoiAAA,0062e000002RRuoAAG,0052e000000VJBXAA4,30/04/2020 2:28,StageName,Developing,Closed Won
0172e00000quTDXAA2,0062e000002Lo1NAAS,0052e000000VJBXAA4,30/04/2020 2:10,StageName,Closing,Proposing
0172e00000qV26rAAC,0062e000002L19PAAS,0052e000000VJB4AAO,26/04/2020 23:23,StageName,Pre-submission,Closed
0172e00000qV31xAAC,0062e000002NTFjAAO,0052e000000VJBxAAO,26/04/2020 23:21,StageName,Identifying,Application
0172e00000qVauZAAS,0062e000002P3oYAAS,0052e000000VJDvAAO,27/04/2020 0:11,StageName,Identifying,Closed Lost
0172e00000qVGrLAAW,0062e000002LcOKAA0,0052e000000VJBdAAO,26/04/2020 23:52,StageName,Closing,Proposing
0172e00000qvNzTAAU,0062e000002HH4RAAW,0052e000000VJDOAA4,30/04/2020 3:18,StageName,Proposing,Closing
0172e00000qvQKaAAM,0062e000002HGO3AAO,0052e000000VJDOAA4,30/04/2020 3:22,StageName,Identifying,Proposing
0172e00000qVxNJAA0,0062e000002IguRAAS,0052e000000VJI7AAO,27/04/2020 0:32,StageName,Closing,Closed Won
0172e00000qW0NaAAK,0062e000002HGjnAAG,0052e000000VJI7AAO,27/04/2020 0:36,StageName,Closing,Closed Won
0172e00000qw1I9AAI,0062e000002N516AAC,0052e000000VJCsAAO,30/04/2020 4:02,StageName,Notice,Closed Lost
0172e00000qw721AAA,0062e000002RSSrAAO,0052e000000VJIEAA4,30/04/2020 4:09,StageName,Identifying,Closed Won
0172e00000qweQxAAI,0062e000002Ql5bAAC,0052e000000VJE4AAO,30/04/2020 5:03,StageName,Developing,Proposing
0172e00000qwf8PAAQ,0062e000002Ql5bAAC,0052e000000VJE4AAO,30/04/2020 5:05,StageName,Proposing,Closing
0172e00000qwIunAAE,0062e000002MctyAAC,0052e000000XHmOAAW,30/04/2020 4:36,StageName,Proposing,Closed Lost
0172e00000qwMSGAA2,0062e000002McxHAAS,0052e000000XHmOAAW,30/04/2020 4:36,StageName,Proposing,Closed Lost
0172e00000qwOvEAAU,0062e000002PVPlAAO,0052e000000VJGpAAO,30/04/2020 4:39,StageName,Identifying,Awaiting Results
0172e00000qwPfbAAE,0062e000002M4ZmAAK,0052e000000VJGpAAO,30/04/2020 4:51,StageName,Developing,Closed Lost
0172e00000qWPRpAAO,0062e000002R18yAAC,0052e000000VJDbAAO,27/04/2020 1:02,StageName,Closing,Closed Won
0172e00000qwQEzAAM,0062e000002HGUmAAO,0052e000000VJGpAAO,30/04/2020 4:41,StageName,Identifying,Closed Lost
0172e00000qxgU1AAI,0062e000002Kf5dAAC,0052e000000VJDvAAO,30/04/2020 7:03,StageName,Identifying,Closed Lost
0172e00000qxICfAAM,0062e000002R79EAAS,0052e000000VJGwAAO,30/04/2020 6:08,StageName,Notice,Closed Lost
0172e00000qXrCUAA0,0062e000002HHAaAAO,0052e000000V0ltAAC,27/04/2020 3:15,StageName,Closed Won,Identifying
0172e00000qXsKbAAK,0062e000002HHAaAAO,0052e000000V0ltAAC,27/04/2020 3:15,StageName,Identifying,Closed Won
0172e00000qya5lAAA,0062e000002RU1PAAW,0052e000000VJDAAA4,30/04/2020 10:50,StageName,Identifying,Developing
0172e00000qYiwXAAS,0062e000002REsJAAW,0052e000000VJIEAA4,27/04/2020 5:08,StageName,Identifying,Execute Contract
0172e00000qYkB9AAK,0062e000002REtWAAW,0052e000000VJIEAA4,27/04/2020 5:14,StageName,Identifying,Execute Contract
0172e00000qYkFPAA0,0062e000002RErpAAG,0052e000000VJIEAA4,27/04/2020 5:11,StageName,Pre-submission,Awaiting Results
0172e00000qyXUWAA2,0062e000002HGzuAAG,0052e000000VJDbAAO,30/04/2020 10:29,StageName,Closing,Closed Won
0172e00000qyYJ0AAM,0062e000002RTzdAAG,0052e000000VJDbAAO,30/04/2020 10:36,StageName,Identifying,Developing
0172e00000qYZJaAAO,0062e000002PafMAAS,0052e000000VJGwAAO,27/04/2020 4:43,StageName,Notice,Closed Lost
0172e00000qz2BWAAY,0062e000002QhPDAA0,0052e000000VJDOAA4,30/04/2020 11:33,StageName,Identifying,Proposing
0172e00000qz2QyAAI,0062e000002HGg3AAG,0052e000000VJDOAA4,30/04/2020 11:35,StageName,Identifying,Developing
0172e00000qz30NAAQ,0062e000002HGg9AAG,0052e000000VJDOAA4,30/04/2020 11:38,StageName,Identifying,Proposing
0172e00000qZCe7AAG,0062e000002HGKPAA4,0052e000000XHlzAAG,27/04/2020 6:14,StageName,Closing,Closed Won
0172e00000qzCkuAAE,0062e000002KsbXAAS,0052e000000VJEFAA4,30/04/2020 12:45,StageName,Closing,Closed Won
