Id,RecordType.Name,Industry,Industry_Sub_Type__c,Business_Type__c,Country__c,Is_External__c,ParentId
0012e000003A6NqAAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6NuAAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6O4AAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Sweden,External,
0012e000003A6O5AAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6OIAA0,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,Australia,External,
0012e000003A6OVAA0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6OaAAK,Business Organization,Technology: IT & Telephone Services,,Multinational / Other Large Corporate,Australia,External,
0012e000003A6OoAAK,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),Australia,External,
0012e000003A6OuAAK,Business Organization,Energy & Utilities,,Multinational / Other Large Corporate,India,External,
0012e000003A6P9AAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,0012e000003A6NgAAK
0012e000003A6PKAA0,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6PbAAK,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6PeAAK,Business Organization,Services,Financial & Insurance,Large Australian Corporate,Australia,External,0012e000003A6PuAAK
0012e000003A6PiAAK,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6Q0AAK,Business Organization,Services,Education,University,Australia,External,
0012e000003A6Q4AAK,Business Organization,Public Administration,,Government: International,Indonesia,External,
0012e000003A6Q5AAK,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6QGAA0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000003A6QaAAK,Business Organization,Mining Equipment and Technology Services,,SME (small to medium enterprise),Australia,External,
0012e000003A6QcAAK,Business Organization,Agriculture & Horticulture,,Government: Australia: Local & State,Australia,External,
0012e000003A6QuAAK,Business Organization,Services,Education,University,Japan,External,
0012e000003A6R0AAK,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6R7AAK,Business Organization,Manufacturing & R&D,Consumer Goods,SME (small to medium enterprise),Australia,External,
0012e000003A6RHAA0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,Australia,External,
0012e000003A6RTAA0,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6RUAA0,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6RfAAK,Business Organization,Services,Business & Professional,Multinational / Other Large Corporate,United States of America,External,
0012e000003A6RgAAK,Business Organization,Services,Education,University,United States of America,External,
0012e000003A6U3AAK,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000003A6UEAA0,Business Organization,Services,Business & Professional,Large Australian Corporate,Australia,External,
0012e000003A6UOAA0,Business Organization,Construction & Construction Materials,,Multinational / Other Large Corporate,Australia,External,
0012e000003A6UQAA0,Business Organization,Construction & Construction Materials,,Not for profit,Australia,External,
0012e000003A6UfAAK,Business Organization,Services,Community,Not for profit,Bangladesh,External,
0012e000003A6UgAAK,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000003A6UkAAK,Business Organization,Construction & Construction Materials,,SME (small to medium enterprise),Australia,External,
0012e000003A6UnAAK,Business Organization,Services,Education,University,Indonesia,External,
0012e000003A6UqAAK,Business Organization,Services,Education,University,China,External,
0012e000003A6VIAA0,Business Organization,Services,Education,SME (small to medium enterprise),Australia,External,
0012e000003A6VKAA0,Business Organization,Materials: Chemicals & Industrial Metals,,Multinational / Other Large Corporate,United States of America,External,
0012e000003A6VTAA0,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6VYAA0,Business Organization,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,Australia,External,0012e000003A6VbAAK
0012e000003A6VaAAK,Business Organization,Health,Health Care & Healthy Aging,Multinational / Other Large Corporate,Australia,External,0012e000003A6VYAA0
0012e000003A6VzAAK,Business Organization,Services,Engineering and Scientific,Not for profit,Australia,External,
0012e000003A6W4AAK,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6W8AAK,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6W9AAK,Business Organization,Energy & Utilities,,Large Australian Corporate,Australia,External,
0012e000003A6WBAA0,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000003A6WKAA0,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6WZAA0,Business Organization,Public Administration,,Government: Australia: Federal,Australia,External,
0012e000003A6WfAAK,Business Organization,Services,"Retail, Travel, Hospitality & Leisure",Government: Australia: Local & State,Australia,External,
0012e000003A6WpAAK,Business Organization,Services,Community,Government: Australia: Local & State,Australia,External,
0012e000003A6WrAAK,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6X0AAK,Business Organization,Public Administration,,Not for profit,United States of America,External,
0012e000003A6X4AAK,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6XOAA0,Business Organization,Agriculture & Horticulture,,Government: Australia: Federal,Australia,External,
0012e000003A6aZAAS,Business Organization,Public Administration,,Government: International,Samoa,External,
0012e000003A6aaAAC,Business Organization,Energy & Utilities,,Government: Australia: Federal,Australia,External,
0012e000003A6afAAC,Business Organization,Public Administration,,Government: International,New Zealand,External,
0012e000003A6agAAC,Business Organization,Services,Community,Government: Australia: Local & State,Australia,External,
0012e000003A6b4AAC,Business Organization,Aquaculture & Fisheries,,SME (small to medium enterprise),Australia,External,
0012e000003A6bCAAS,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6bKAAS,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,Japan,External,
0012e000003A6bkAAC,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,Sweden,External,
0012e000003A6c2AAC,Business Organization,Health,Health Care & Healthy Aging,Not for profit,United States of America,External,
0012e000003A6cFAAS,Business Organization,Technology: IT & Telephone Services,,Not for profit,Australia,External,
0012e000003A6d4AAC,Business Organization,Health,Pharmaceuticals,SME (small to medium enterprise),China,External,
0012e000003A6dKAAS,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6dNAAS,Business Organization,Services,Education,University,Australia,External,
0012e000003A6dbAAC,Business Organization,Services,Community,Government: Australia: Local & State,Australia,External,
0012e000003A6fpAAC,Business Organization,Health,Biotechnology (non-Pharma),Multinational / Other Large Corporate,Australia,External,
0012e000003A6gCAAS,Business Organization,Services,Engineering and Scientific,Not for profit,Australia,External,
0012e000003A6gDAAS,Business Organization,Services,Community,Not for profit,Switzerland,External,
0012e000003A6gGAAS,Business Organization,Services,"Retail, Travel, Hospitality & Leisure",Government: Australia: Local & State,Australia,External,
0012e000003A6gNAAS,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6geAAC,Business Organization,Services,Business & Professional,Not for profit,Australia,External,
0012e000003A6glAAC,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Australia,External,
0012e000003A6gwAAC,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6gyAAC,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6h5AAC,Business Organization,Services,Community,Government: Australia: Federal,Australia,External,
0012e000003A6hFAAS,Business Organization,Services,Community,Not for profit,Australia,External,
0012e000003A6hdAAC,Business Organization,Defence,,Government: International,United States of America,External,
0012e000003A6hwAAC,Business Organization,Defence,,Government: International,United Kingdom,External,
0012e000003A6hyAAC,Business Organization,Energy & Utilities,,Multinational / Other Large Corporate,Italy,External,
0012e000003A6i8AAC,Business Organization,Construction & Construction Materials,,Multinational / Other Large Corporate,Germany,External,
0012e000003A6jMAAS,Business Organization,Public Administration,,Not for profit,Australia,External,0012e000003A6FfAAK
0012e000003A6jhAAC,Business Organization,Veterinary,,SME (small to medium enterprise),Australia,External,
0012e000003A6jqAAC,Business Organization,Services,Business & Professional,SME (small to medium enterprise),Japan,External,
0012e000003A6kAAAS,Business Organization,Veterinary,,Large Australian Corporate,Australia,External,
0012e000003A6kDAAS,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6kUAAS,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Federal,Australia,External,
0012e000003A6klAAC,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6koAAC,Business Organization,Public Administration,,Government: Australia: Local & State,Australia,External,
0012e000003A6kqAAC,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6lYAAS,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6lcAAC,Business Organization,Health,Health Care & Healthy Aging,Government: Australia: Local & State,Australia,External,
0012e000003A6m1AAC,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6m2AAC,Business Organization,Health,Health Care & Healthy Aging,SME (small to medium enterprise),Australia,External,0012e000003A6cjAAC
0012e000003A6m7AAC,Business Organization,Services,Community,Government: International,Switzerland,External,
0012e000003A6mhAAC,Business Organization,Energy & Utilities,,SME (small to medium enterprise),Australia,External,
0012e000003A6mlAAC,Business Organization,Manufacturing & R&D,Food & Beverage,SME (small to medium enterprise),Australia,External,
0012e000003A6mnAAC,Business Organization,Services,Environmental,Government: Australia: Federal,Australia,External,
0012e000003A6muAAC,Business Organization,Health,Biotechnology (non-Pharma),SME (small to medium enterprise),Australia,External,
0012e000003A6mxAAC,Business Organization,Technology: IT & Telephone Services,,SME (small to medium enterprise),China,External,
0012e000003A6n3AAC,Business Organization,Manufacturing & R&D,Food & Beverage,Multinational / Other Large Corporate,Singapore,External,
0012e000003A6ndAAC,Business Organization,Public Administration,,Government: Australia: Federal,Australia,External,
0012e000003A6nrAAC,Business Organization,Services,Education,University,India,External,
0012e000003A6oWAAS,Business Organization,Health,Health Care & Healthy Aging,Not for profit,Australia,External,
0012e000003A6oZAAS,Business Organization,Public Administration,,Government: Australia: Federal,Australia,External,0012e000003A6aUAAS
0012e000003A6ocAAC,Business Organization,Public Administration,,Government: International,South Korea,External,
0012e000003A6ovAAC,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6pNAAS,Business Organization,Services,Education,Government: Australia: Local & State,Australia,External,
0012e000003A6pRAAS,Business Organization,Services,Education,Not for profit,Singapore,External,
0012e000003A6pZAAS,Business Organization,Services,Community,Not for profit,Thailand,External,
0012e000003A6ppAAC,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6pzAAC,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6q7AAC,Business Organization,Services,Education,Not for profit,Australia,External,
0012e000003A6qIAAS,Business Organization,Services,"Retail, Travel, Hospitality & Leisure",SME (small to medium enterprise),Australia,External,
