Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e00000663z0EAA,0062e000002HGD6AAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064sT3EAI,0062e000002HGD6AAO,18/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064sSeEAI,0062e000002HGD6AAO,18/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064sSPEAY,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064sSFEAY,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064ryoEAA,0062e000002HGD6AAO,18/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000064Rh6EAE,0062e000002HGD6AAO,18/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000644BsEAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000643WpEAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000643WkEAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e00000643TlEAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000063iEKEAY,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000063iE0EAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000063gThEAI,0062e000002HGD6AAO,17/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061zReEAI,0062e000002HGD6AAO,15/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061ypBEAQ,0062e000002HGD6AAO,15/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061mw6EAA,0062e000002HGD6AAO,15/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061j8SEAQ,0062e000002HGD6AAO,14/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061WjhEAE,0062e000002HGD6AAO,12/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061JI0EAM,0062e000002HGD6AAO,12/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061HhoEAE,0062e000002HGD6AAO,12/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000061AOVEA2,0062e000002HGD6AAO,12/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005ybfmEAA,0062e000002HGD6AAO,9/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005yXGjEAM,0062e000002HGD6AAO,9/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005xeYnEAI,0062e000002HGD6AAO,5/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005xeWhEAI,0062e000002HGD6AAO,6/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005xDDyEAM,0062e000002HGD6AAO,5/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005x9MSEAY,0062e000002HGD6AAO,5/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005x8tGEAQ,0062e000002HGD6AAO,5/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005x8nmEAA,0062e000002HGD6AAO,5/6/20,Completed,0052e000000V0ltAAC,,Email
